:START_ID,:END_ID
A1,T1
A2,T1
A3,T1
A4,T1
A5,T1
A6,T1
A7,T1
A8,T1
A9,T1
A10,T1
A11,T1
A12,T1
A13,T1
A14,T1
A15,T1
A16,T1
A17,T4
A18,T1
A19,T1
A20,T1
A21,T1
A22,T1
A23,T1
A24,T1
A25,T3
A26,T3
A27,T1
A28,T1
A29,T2
A30,T2
A31,T1
A32,T1
A33,T1
A34,T3
A35,T2
A36,T2
A37,T5
A38,T5
A39,T1
A40,T4
A41,T1
A42,T1
A43,T1
A44,T1
A45,T1
A46,T1
A47,T1
A48,T1
A49,T2
A50,T1
A51,T1
A52,T1
A53,T2
A54,T4
A55,T1
A56,T1
A57,T4
A58,T1
A59,T3
